voyage_id,vessel_type,dwt,n_ports,nz_dest_port,cluster_k,p_invasion,p_alien_per_port,p_intro_per_port,p_estab_per_port,pr_inv_per_port
4879,RoRo,18418.0,7,AUCKLAND,0,0.0003512369,"[0.999913, 0.999998, 1.0, 1.0, 1.0, 0.999965]","[0.22555604, 0.28750307, 0.42183868, 0.50366199, 0.56557732, 0.77458249]","[0.00013371, 0.00013088, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[3.01561e-05, 3.7628e-05, 5.56625e-05, 5.85397e-05, 6.5736e-05, 0.0001035645]"
4880,Container,52216.0,7,AUCKLAND,0,0.0003651614,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.40591078, 0.44031045, 0.47239777, 0.49375783, 0.52713349, 0.59696171]","[0.00011623, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[4.71782e-05, 5.80999e-05, 6.23339e-05, 6.51524e-05, 6.12677e-05, 7.11847e-05]"
4881,RoRo,21099.0,5,AUCKLAND,1,0.0002209379,"[1.0, 1.0, 1.0, 1.0]","[0.36852033, 0.45157369, 0.57921583, 0.67442083]","[9.591e-05, 9.591e-05, 0.00010419, 0.00012152]","[3.53442e-05, 4.33097e-05, 6.0349e-05, 8.19528e-05]"
4882,Container,66347.0,5,AUCKLAND,1,0.0002411363,"[1.0, 1.0, 0.643148, 1.0]","[0.47138662, 0.5054987, 0.54952331, 0.70421578]","[0.00010419, 0.00012152, 0.00013909, 0.00011567]","[4.91142e-05, 6.14261e-05, 4.91575e-05, 8.146e-05]"
4883,Bulker,40600.0,5,TAURANGA,4,0.0002232057,"[1.0, 1.0, 1.0, 1.0]","[0.18627386, 0.31654598, 0.6111003, 0.74112604]","[0.0001448, 0.0001448, 0.00011063, 0.00011174]","[2.69721e-05, 4.58353e-05, 6.7606e-05, 8.28101e-05]"
4884,Container,107978.0,5,TAURANGA,1,0.0003400298,"[1.0, 1.0, 0.999493, 0.999989]","[0.54012206, 0.66771139, 0.7660249, 0.83764747]","[0.00011482, 0.00011567, 0.00011601, 0.00013371]","[6.20166e-05, 7.72373e-05, 8.88194e-05, 0.0001119992]"
4885,General Cargo,31288.0,5,AUCKLAND,0,0.0003778498,"[0.999965, 0.999902, 0.999998, 0.999913]","[0.5231172, 0.64702645, 0.78393828, 0.8889911]","[0.00013371, 0.00013371, 0.00013088, 0.00013371]","[6.99427e-05, 8.65043e-05, 0.0001026006, 0.0001188552]"
4886,General Cargo,10342.0,7,TAURANGA,1,0.0001982232,"[0.854803, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.10780307, 0.14859176, 0.20139111, 0.27232862, 0.37149491, 0.58742202]","[0.00013909, 0.00011482, 0.00011482, 0.00010419, 0.00012152, 0.00012209]","[1.28171e-05, 1.70612e-05, 2.31236e-05, 2.83741e-05, 4.51425e-05, 7.17197e-05]"
4887,Container,38666.0,6,AUCKLAND,0,0.0002885814,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.39931746, 0.42631497, 0.46004199, 0.48405649, 0.5280458]","[0.00011623, 0.00013195, 0.00013195, 0.00013195, 0.00011623]","[4.64119e-05, 5.62532e-05, 6.07035e-05, 6.38723e-05, 6.13737e-05]"
4888,Container,53278.0,7,AUCKLAND,0,0.0003599601,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.38632889, 0.41549838, 0.47288858, 0.49425856, 0.52991118, 0.59606771]","[0.00011623, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[4.49023e-05, 5.48259e-05, 6.23986e-05, 6.52185e-05, 6.15905e-05, 7.10781e-05]"
4889,RoRo,12988.0,6,AUCKLAND,0,0.0003263609,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.25103655, 0.32709744, 0.47911945, 0.61984542, 0.7468901]","[0.00014211, 0.00014211, 0.00011063, 0.00013992, 0.00013992]","[3.56741e-05, 4.64829e-05, 5.3005e-05, 8.67316e-05, 0.0001045083]"
4890,Container,34362.0,7,NELSON,3,0.0002029375,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.34738991, 0.38344285, 0.42036783, 0.44809363, 0.48148303, 0.54591769]","[8.776e-05, 7.567e-05, 7.567e-05, 7.567e-05, 7.567e-05, 7.567e-05]","[3.04867e-05, 2.90139e-05, 3.18079e-05, 3.39058e-05, 3.64323e-05, 4.13079e-05]"
4891,General Cargo,20202.0,5,AUCKLAND,2,0.0003320825,"[0.999659, 0.999862, 1.0, 1.0]","[0.56024921, 0.68304073, 0.80143021, 0.90148448]","[0.00011601, 0.00011601, 0.00010437, 0.00011567]","[6.49708e-05, 7.92267e-05, 8.36471e-05, 0.000104279]"
4892,Container,30136.0,7,TAURANGA,1,0.000260004,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.26485948, 0.28001144, 0.30363031, 0.34203876, 0.38280157, 0.43743184]","[0.00012209, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[3.23373e-05, 3.41873e-05, 3.70709e-05, 4.60368e-05, 5.15233e-05, 5.88763e-05]"
4893,Bulker,35104.0,6,LYTTELTON,4,0.0001926357,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.14542602, 0.31226251, 0.5618225, 0.67843899, 0.74708288]","[8.967e-05, 0.0, 8.967e-05, 8.967e-05, 9.156e-05]","[1.30396e-05, 0.0, 5.03758e-05, 6.08323e-05, 6.8401e-05]"
4894,Container,35036.0,6,TAURANGA,1,0.0002407436,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.31426482, 0.33520318, 0.36400236, 0.40361041, 0.46588195]","[0.00012209, 0.00012209, 0.00012209, 0.0001346, 0.0001346]","[3.83693e-05, 4.09257e-05, 4.44419e-05, 5.43241e-05, 6.27055e-05]"
4895,Container,35225.0,7,TAURANGA,1,0.0002630145,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.26442898, 0.2833848, 0.35232249, 0.40541431, 0.4547615, 0.48035252]","[0.00011482, 0.00011482, 0.00010419, 0.00012152, 0.00012209, 0.00012209]","[3.03616e-05, 3.25381e-05, 3.67088e-05, 4.92642e-05, 5.55229e-05, 5.86474e-05]"
4896,Container,65937.0,6,AUCKLAND,0,0.0003627575,"[1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.46688384, 0.49994019, 0.53777161, 0.64642861, 0.69217067]","[0.00013195, 0.00011623, 0.00011924, 0.00013371, 0.00013371]","[6.16063e-05, 5.81071e-05, 6.41265e-05, 8.64298e-05, 9.25399e-05]"
4897,Bulker,37685.0,7,GISBORNE,3,0.0003222741,"[1.0, 1.0, 1.0, 1.0, 0.999966, 0.999979]","[0.05838344, 0.14367144, 0.31124141, 0.52169447, 0.76671333, 0.83447968]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011601, 0.00011601]","[7.7038e-06, 1.89577e-05, 4.1069e-05, 6.88387e-05, 8.89412e-05, 9.68036e-05]"
4898,Container,62007.0,7,AUCKLAND,0,0.0003933668,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.45085762, 0.48486735, 0.51391146, 0.53571643, 0.5718252, 0.60452738]","[0.00011623, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[5.24023e-05, 6.39793e-05, 6.78117e-05, 7.06889e-05, 6.64621e-05, 7.20868e-05]"
4899,General Cargo,8378.0,7,AUCKLAND,2,0.0002636314,"[0.999862, 1.0, 1.0, 1.0, 1.0, 0.999659]","[0.18792126, 0.24803454, 0.31759774, 0.42361847, 0.51973355, 0.63555548]","[0.00011601, 0.00010437, 0.00010437, 0.00011567, 0.00011567, 0.00011601]","[2.17972e-05, 2.58879e-05, 3.31484e-05, 4.90019e-05, 6.012e-05, 7.37039e-05]"
4900,RoRo,18867.0,6,AUCKLAND,0,0.000383641,"[1.0, 1.0, 1.0, 1.0, 0.999965]","[0.39955534, 0.4828097, 0.55994197, 0.66975945, 0.88193728]","[0.00013195, 0.00013195, 0.00013195, 0.00011267, 0.00013371]","[5.27222e-05, 6.37078e-05, 7.38855e-05, 7.5465e-05, 0.0001179182]"
4901,General Cargo,8378.0,6,AUCKLAND,2,0.0002400062,"[0.999903, 0.999862, 1.0, 1.0, 0.999993]","[0.24962454, 0.32305227, 0.41669299, 0.52180236, 0.65211217]","[0.00011601, 0.00011601, 0.00010437, 0.00010437, 0.00011601]","[2.89554e-05, 3.74712e-05, 4.34912e-05, 5.44617e-05, 7.56491e-05]"
4902,Container,53176.0,6,TAURANGA,1,0.0003407926,"[1.0, 1.0, 0.999493, 0.999989, 0.999965]","[0.37244788, 0.46655128, 0.54268037, 0.6363678, 0.6984661]","[0.00012209, 0.00011567, 0.00011601, 0.00013371, 0.00013371]","[4.5473e-05, 5.39682e-05, 6.29229e-05, 8.50867e-05, 9.33874e-05]"
4903,Container,110387.0,7,TAURANGA,1,0.0004178649,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.48562313, 0.54376798, 0.5810849, 0.63424823, 0.65381996, 0.67376252]","[0.00011482, 0.00010419, 0.00012152, 0.00011482, 0.00012209, 0.00012209]","[5.5759e-05, 5.66556e-05, 7.0611e-05, 7.28241e-05, 7.98264e-05, 8.22612e-05]"
4904,Bulker,28324.0,5,GISBORNE,4,0.000242637,"[1.0, 1.0, 1.0, 1.0]","[0.27363564, 0.50326219, 0.66759549, 0.74151916]","[0.00011063, 0.00011063, 0.00011063, 0.00011174]","[3.02723e-05, 5.56759e-05, 7.38561e-05, 8.2854e-05]"
4905,RoRo,18262.0,7,AUCKLAND,0,0.0003960137,"[1.0, 1.0, 1.0, 1.0, 0.999998, 0.999913]","[0.27304609, 0.34433225, 0.4507082, 0.54982108, 0.64841786, 0.76975767]","[0.00011063, 0.00011063, 0.00013992, 0.00013992, 0.00013088, 0.00013371]","[3.02071e-05, 3.80935e-05, 6.30652e-05, 7.69335e-05, 8.48639e-05, 0.000102914]"
4906,Container,43197.0,7,TAURANGA,1,0.0003740138,"[1.0, 1.0, 0.999493, 0.999989, 0.999965, 0.999999]","[0.31702178, 0.39807772, 0.48194237, 0.54533603, 0.58432492, 0.62956007]","[0.00012209, 0.00011567, 0.00011601, 0.00013371, 0.00013371, 0.00013088]","[3.87059e-05, 4.60475e-05, 5.58805e-05, 7.29152e-05, 7.81263e-05, 8.23959e-05]"
4907,Container,65937.0,5,AUCKLAND,0,0.0002800184,"[1.0, 1.0, 1.0, 1.0]","[0.47647784, 0.51762949, 0.57157534, 0.63196951]","[0.00013195, 0.00013195, 0.00013195, 0.00011623]","[6.28723e-05, 6.83023e-05, 7.54206e-05, 7.34526e-05]"
4908,RoRo,27351.0,6,AUCKLAND,1,0.0003073396,"[1.0, 1.0, 1.0, 0.643148, 1.0]","[0.38190009, 0.51491325, 0.59181745, 0.67413502, 0.73924997]","[9.591e-05, 0.00010419, 0.00012152, 0.00013909, 0.00011482]","[3.66274e-05, 5.36492e-05, 7.19152e-05, 6.03046e-05, 8.48803e-05]"
4909,Tanker,36681.0,5,NAPIER,4,0.0002800037,"[1.0, 0.999996, 0.999982, 0.999999]","[0.13407913, 0.49061828, 0.84106833, 0.91257107]","[8.382e-05, 0.00010558, 0.00010558, 0.00014047]","[1.1238e-05, 5.18004e-05, 8.88002e-05, 0.0001281907]"
4910,General Cargo,19497.0,6,TAURANGA,3,0.0004207309,"[1.0, 0.999989, 0.999965, 0.999999, 0.999968]","[0.38518461, 0.49960934, 0.64185957, 0.77162729, 0.91761917]","[0.00011553, 0.00013371, 0.00013371, 0.00013088, 0.00013371]","[4.4501e-05, 6.68012e-05, 8.58189e-05, 0.0001009895, 0.0001226893]"
4911,General Cargo,8378.0,7,AUCKLAND,2,0.0002664472,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.16647312, 0.21746601, 0.28329081, 0.36616091, 0.44639595, 0.62819018]","[0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[2.19665e-05, 2.86951e-05, 3.73808e-05, 4.25582e-05, 5.18837e-05, 8.39913e-05]"
4912,General Cargo,20202.0,7,AUCKLAND,2,0.0004220621,"[0.999862, 1.0, 1.0, 1.0, 1.0, 0.999659]","[0.32366846, 0.43843549, 0.55851081, 0.71117117, 0.81180301, 0.89998155]","[0.00011601, 0.00010437, 0.00010437, 0.00011567, 0.00011567, 0.00011601]","[3.75427e-05, 4.57605e-05, 5.8293e-05, 8.22645e-05, 9.39051e-05, 0.0001043687]"
4913,Container,22968.0,5,TAURANGA,2,0.0001952793,"[0.999921, 1.0, 1.0, 0.999702]","[0.38573901, 0.42541232, 0.45847472, 0.50266424]","[0.00011601, 0.00010437, 0.00010437, 0.00011601]","[4.4745e-05, 4.44012e-05, 4.7852e-05, 5.82953e-05]"
4914,Reefer,10936.0,5,AUCKLAND,0,0.00026019,"[1.0, 1.0, 1.0, 1.0]","[0.35709051, 0.44539117, 0.53518382, 0.63437552]","[0.00013195, 0.00013195, 0.00013195, 0.00013195]","[4.71188e-05, 5.87703e-05, 7.06186e-05, 8.37072e-05]"
4915,General Cargo,12502.0,5,TAURANGA,3,0.000249861,"[1.0, 1.0, 1.0, 0.999995]","[0.3377241, 0.44204258, 0.55439227, 0.76671013]","[0.00011637, 0.00011063, 0.00011063, 0.00013088]","[3.93022e-05, 4.89032e-05, 6.13324e-05, 0.0001003456]"
4916,Container,52190.0,5,AUCKLAND,0,0.0002571665,"[1.0, 1.0, 1.0, 1.0]","[0.43907822, 0.49829173, 0.56031112, 0.58832178]","[0.00013195, 0.00013195, 0.00011623, 0.00011623]","[5.79373e-05, 6.57506e-05, 6.51239e-05, 6.83795e-05]"
4917,Container,52190.0,5,AUCKLAND,0,0.0002799012,"[1.0, 1.0, 1.0, 1.0]","[0.47553568, 0.50591738, 0.5489363, 0.59106574]","[0.00013195, 0.00013195, 0.00013195, 0.00013195]","[6.27479e-05, 6.67569e-05, 7.24333e-05, 7.79924e-05]"
4918,Container,43206.0,7,TAURANGA,1,0.0003726541,"[0.854803, 1.0, 0.999493, 0.999989, 0.999965, 0.999999]","[0.30597462, 0.39716695, 0.48754631, 0.54171179, 0.58840412, 0.63232614]","[0.00013909, 0.00011567, 0.00011601, 0.00013371, 0.00013371, 0.00013088]","[3.63785e-05, 4.59422e-05, 5.65302e-05, 7.24306e-05, 7.86717e-05, 8.2758e-05]"
4919,Container,22708.0,5,TAURANGA,2,0.0001773018,"[1.0, 1.0, 1.0, 1.0]","[0.30884209, 0.33065482, 0.36409574, 0.40701686]","[0.00012209, 0.00012209, 0.00012209, 0.0001346]","[3.77073e-05, 4.03704e-05, 4.44533e-05, 5.47826e-05]"
4920,RoRo,27351.0,7,AUCKLAND,1,0.000388689,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.25025011, 0.33081688, 0.43771527, 0.49585281, 0.70147017, 0.84392092]","[9.591e-05, 0.00012123, 0.00012123, 0.00011161, 0.00013992, 0.00013992]","[2.40011e-05, 4.01047e-05, 5.3064e-05, 5.53408e-05, 9.81529e-05, 0.0001180853]"
4921,RoRo,18918.0,7,AUCKLAND,0,0.0004354818,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.34313117, 0.42301833, 0.51096257, 0.59706375, 0.67816379, 0.74855345]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195]","[4.52769e-05, 5.58182e-05, 6.74226e-05, 7.87838e-05, 8.94851e-05, 9.87732e-05]"
4922,Bulker,36880.0,6,LYTTELTON,1,0.0002825132,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.13238203, 0.31350576, 0.55332584, 0.66980583, 0.72593347]","[0.00011797, 0.00011797, 0.00011797, 0.00011797, 0.00011797]","[1.56177e-05, 3.69857e-05, 6.52784e-05, 7.902e-05, 8.56417e-05]"
4923,RoRo,27100.0,7,AUCKLAND,1,0.0003920024,"[1.0, 1.0, 1.0, 1.0, 0.999998, 0.999913]","[0.25918958, 0.31313467, 0.46206245, 0.57791256, 0.74104202, 0.85009835]","[0.00012123, 0.00011161, 0.00011063, 0.00011063, 0.00013088, 0.00013371]","[3.14214e-05, 3.49481e-05, 5.1118e-05, 6.39345e-05, 9.69864e-05, 0.0001136553]"
4924,Container,110387.0,5,TAURANGA,1,0.0002536013,"[1.0, 1.0, 1.0, 1.0]","[0.4979546, 0.5181961, 0.57841125, 0.63107987]","[0.00011482, 0.00011482, 0.00010419, 0.00012152]","[5.71749e-05, 5.9499e-05, 6.02652e-05, 7.66862e-05]"
4925,General Cargo,20202.0,7,AUCKLAND,2,0.0003675184,"[0.999659, 0.999862, 1.0, 1.0, 1.0, 1.0]","[0.28619234, 0.38114428, 0.49614987, 0.60695826, 0.71635042, 0.79686841]","[0.00011601, 0.00011601, 0.00010437, 0.00010437, 0.00011567, 0.00011567]","[3.3189e-05, 4.42094e-05, 5.17843e-05, 6.33496e-05, 8.28636e-05, 9.21775e-05]"
4926,RoRo,21983.0,7,AUCKLAND,1,0.0003497317,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.25269494, 0.35689956, 0.44900258, 0.56221996, 0.62398068, 0.80451353]","[9.591e-05, 0.00010419, 0.00012152, 0.00011482, 0.00012209, 0.00011567]","[2.42355e-05, 3.71857e-05, 5.45609e-05, 6.45538e-05, 7.61833e-05, 9.30619e-05]"
4927,Container,43123.0,7,TAURANGA,1,0.0002984739,"[1.0, 1.0, 1.0, 1.0, 0.999493, 0.999989]","[0.29780767, 0.33012654, 0.34597715, 0.43246597, 0.50027693, 0.55452918]","[0.00012152, 0.00011482, 0.00012209, 0.00011567, 0.00011601, 0.00013371]","[3.61883e-05, 3.7905e-05, 4.22412e-05, 5.00254e-05, 5.80063e-05, 7.41443e-05]"
4928,Container,69653.0,6,AUCKLAND,0,0.000370977,"[1.0, 1.0, 0.999965, 0.999902, 0.999998]","[0.43055952, 0.48493358, 0.5895766, 0.64782071, 0.74667199]","[0.00011623, 0.00011924, 0.00013371, 0.00013371, 0.00013088]","[5.00431e-05, 5.78259e-05, 7.88285e-05, 8.66105e-05, 9.77233e-05]"
4929,General Cargo,17325.0,5,AUCKLAND,0,0.0003239218,"[1.0, 1.0, 1.0, 1.0]","[0.45194812, 0.56412937, 0.68037331, 0.75868783]","[0.00013195, 0.00013195, 0.00013195, 0.00013195]","[5.96355e-05, 7.44381e-05, 8.97767e-05, 0.0001001105]"
4930,Container,69653.0,7,AUCKLAND,0,0.0004245027,"[1.0, 1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.42533036, 0.47074989, 0.51243522, 0.53237752, 0.65036376, 0.73259859]","[0.00013195, 0.00013195, 0.00011623, 0.00011623, 0.00013371, 0.00013371]","[5.61232e-05, 6.21164e-05, 5.95594e-05, 6.18772e-05, 8.6956e-05, 9.79449e-05]"
4931,RoRo,14906.0,6,AUCKLAND,0,0.0003295169,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.35452742, 0.43036687, 0.5116418, 0.59137395, 0.71396816]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011267]","[4.67806e-05, 5.67878e-05, 6.75122e-05, 7.8033e-05, 8.04462e-05]"
4932,Container,41337.0,7,AUCKLAND,4,0.0003121485,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.32677388, 0.36345133, 0.3965292, 0.42679562, 0.44561567, 0.54677274]","[0.00013195, 0.00011623, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[4.31185e-05, 4.22432e-05, 5.23229e-05, 4.96056e-05, 5.1793e-05, 7.31055e-05]"
4933,Tanker,3854.0,7,NEW PLYMOUTH,2,0.0001173584,"[1.0, 0.999975, 0.999861, 0.999995, 1.0, 1.0]","[0.01470858, 0.03277905, 0.07163577, 0.15336536, 0.30556123, 0.5762585]","[7.567e-05, 0.00010558, 0.00010558, 0.00014047, 0.00013117, 7.567e-05]","[1.113e-06, 3.4608e-06, 7.5624e-06, 2.15435e-05, 4.00799e-05, 4.36037e-05]"
4934,Container,23435.0,7,AUCKLAND,0,0.0002696227,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.27958195, 0.30817561, 0.34463568, 0.36720856, 0.39958034, 0.43377368]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[3.68914e-05, 4.06644e-05, 4.54754e-05, 4.84539e-05, 4.64424e-05, 5.17253e-05]"
4935,Container,107978.0,7,TAURANGA,1,0.0004911692,"[0.854803, 1.0, 0.999493, 0.999989, 0.999965, 0.999999]","[0.42484101, 0.54224447, 0.64644703, 0.7050033, 0.76080496, 0.81826201]","[0.00013909, 0.00011567, 0.00011601, 0.00013371, 0.00013371, 0.00013088]","[5.05109e-05, 6.2724e-05, 7.49545e-05, 9.42638e-05, 0.0001017223, 0.000107093]"
4936,Container,43123.0,6,TAURANGA,1,0.0003062352,"[0.854803, 1.0, 0.999493, 0.999989, 0.999965]","[0.32508058, 0.42210183, 0.49953903, 0.56111183, 0.64209333]","[0.00013909, 0.00011567, 0.00011601, 0.00013371, 0.00013371]","[3.865e-05, 4.88265e-05, 5.79208e-05, 7.50245e-05, 8.58501e-05]"
4937,Container,11817.0,7,AUCKLAND,0,0.0001707487,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1628456, 0.17841128, 0.20397731, 0.23125631, 0.25051398, 0.30324311]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011623]","[2.14878e-05, 2.35417e-05, 2.69152e-05, 3.05148e-05, 3.30558e-05, 3.52454e-05]"
4938,Container,26868.0,7,TAURANGA,1,0.0003000286,"[1.0, 1.0, 0.999493, 0.999989, 0.999965, 0.999999]","[0.24904357, 0.31612176, 0.38032696, 0.43563554, 0.47280852, 0.51597454]","[0.00012209, 0.00011567, 0.00011601, 0.00013371, 0.00013371, 0.00013088]","[3.04063e-05, 3.65673e-05, 4.40983e-05, 5.82474e-05, 6.32162e-05, 6.753e-05]"
4939,RoRo,15089.0,6,AUCKLAND,0,0.0003651082,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.37912264, 0.46217578, 0.55931249, 0.64550381, 0.7212598]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195]","[5.0026e-05, 6.09851e-05, 7.38025e-05, 8.51756e-05, 9.51718e-05]"
4940,Reefer,14933.0,6,TAURANGA,1,0.000349718,"[1.0, 1.0, 0.999493, 0.999948, 0.999921]","[0.33138658, 0.47764825, 0.62100853, 0.73748914, 0.83190978]","[0.00012209, 0.00011567, 0.00011601, 0.00011601, 0.00011601]","[4.04598e-05, 5.52518e-05, 7.2005e-05, 8.55495e-05, 9.64999e-05]"
4941,General Cargo,37735.0,5,TAURANGA,4,0.0002794541,"[1.0, 1.0, 1.0, 1.0]","[0.44494577, 0.58361724, 0.62897911, 0.80417349]","[0.0001114, 0.00012123, 0.00011161, 0.00011063]","[4.95671e-05, 7.07516e-05, 7.01986e-05, 8.89657e-05]"
4942,RoRo,15089.0,7,AUCKLAND,0,0.000413833,"[1.0, 1.0, 1.0, 0.999998, 0.999913, 0.999965]","[0.25763093, 0.35161692, 0.45223204, 0.56516286, 0.6799247, 0.80813911]","[0.00011063, 0.00013992, 0.00013992, 0.00013088, 0.00013371, 0.00013371]","[2.85017e-05, 4.91998e-05, 6.32784e-05, 7.39676e-05, 9.09037e-05, 0.0001080511]"
4943,Reefer,12313.0,7,AUCKLAND,4,0.0003223517,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.23427745, 0.30558618, 0.38509813, 0.47084638, 0.59864542, 0.70402932]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.0001061, 0.0001061]","[3.09134e-05, 4.03227e-05, 5.08145e-05, 6.21292e-05, 6.35166e-05, 7.46979e-05]"
4944,Bulker,37534.0,5,PORT CHALMERS,4,0.0003193801,"[1.0, 0.9999, 0.999973, 0.999994]","[0.26491906, 0.58350821, 0.78835081, 0.8889383]","[8.382e-05, 0.00010558, 0.00014047, 0.00014047]","[2.22045e-05, 6.16019e-05, 0.0001107383, 0.0001248703]"
4945,Tanker,49993.0,7,NEW PLYMOUTH,0,0.0002654906,"[1.0, 1.0, 1.0, 0.999995, 0.99987, 0.999975]","[0.00485262, 0.02667368, 0.13289991, 0.48202745, 0.797475, 0.87401912]","[8.382e-05, 0.00013117, 0.00013117, 0.00014047, 0.00010558, 0.00010558]","[4.067e-07, 3.4987e-06, 1.74322e-05, 6.77111e-05, 8.41882e-05, 9.22786e-05]"
4946,Bulker,36644.0,7,TAURANGA,4,0.0003478572,"[1.0, 1.0, 0.999989, 0.999961, 0.999968, 0.999999]","[0.05219618, 0.12986813, 0.33364234, 0.5791999, 0.71391574, 0.8413379]","[0.00011063, 0.00011174, 0.00013371, 0.00013371, 0.00013371, 0.00013088]","[5.7745e-06, 1.45109e-05, 4.46103e-05, 7.74408e-05, 9.54534e-05, 0.0001101131]"
4947,RoRo,15128.0,7,AUCKLAND,0,0.000377526,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999862]","[0.27914151, 0.34939478, 0.4315651, 0.51238983, 0.59475485, 0.78981571]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011601]","[3.68333e-05, 4.61034e-05, 5.69459e-05, 6.76109e-05, 7.84792e-05, 9.16116e-05]"
4948,Bulker,32754.0,7,TIMARU,4,0.0002887142,"[1.0, 1.0, 1.0, 0.999993, 0.999811, 0.999973]","[0.05172594, 0.12357072, 0.27135211, 0.55334456, 0.69108098, 0.83155493]","[8.967e-05, 8.967e-05, 9.156e-05, 0.00010558, 0.00010558, 0.00014047]","[4.638e-06, 1.108e-05, 2.48443e-05, 5.84229e-05, 7.29521e-05, 0.0001168071]"
4949,Bulker,37130.0,6,NAPIER,1,0.0002838866,"[0.999982, 0.999996, 0.999982, 0.999999, 0.999983]","[0.1242723, 0.28942745, 0.52538413, 0.6871218, 0.83581524]","[0.00010558, 0.00010558, 0.00010558, 0.00014047, 0.00010558]","[1.31207e-05, 3.05583e-05, 5.54702e-05, 9.65214e-05, 8.82457e-05]"
4950,Container,35066.0,5,NELSON,1,0.0001808955,"[1.0, 0.999936, 0.999986, 0.999847]","[0.35944986, 0.42913032, 0.49596673, 0.56022049]","[8.787e-05, 8.814e-05, 0.00010558, 0.00010558]","[3.15831e-05, 3.78196e-05, 5.23645e-05, 5.91402e-05]"
4951,RoRo,18836.0,7,AUCKLAND,0,0.00040948,"[1.0, 1.0, 1.0, 0.999998, 0.999913, 0.999965]","[0.2749306, 0.36752237, 0.46153998, 0.56285482, 0.65338208, 0.76367315]","[0.00011063, 0.00013992, 0.00013992, 0.00013088, 0.00013371, 0.00013371]","[3.04156e-05, 5.14254e-05, 6.45808e-05, 7.36656e-05, 8.7355e-05, 0.0001021059]"
4952,Container,53327.0,7,AUCKLAND,4,0.0003764283,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.40828881, 0.45907044, 0.49506844, 0.51819949, 0.5544848, 0.58960772]","[0.00011623, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[4.74546e-05, 6.05753e-05, 6.53253e-05, 6.83775e-05, 6.44467e-05, 7.03077e-05]"
4953,Container,52180.0,7,AUCKLAND,4,0.000338471,"[1.0, 1.0, 1.0, 1.0, 0.999965, 0.999902]","[0.34032935, 0.38097805, 0.41332666, 0.43873129, 0.53648542, 0.57833531]","[0.00013195, 0.00011623, 0.00011924, 0.00011623, 0.00013371, 0.00013371]","[4.49072e-05, 4.42803e-05, 4.92871e-05, 5.09929e-05, 7.173e-05, 7.73206e-05]"
